Acceleration X(g)_mean,Acceleration X(g)_std,Acceleration X(g)_var,Acceleration X(g)_rms,Acceleration X(g)_sma,Acceleration X(g)_freq_dom,Acceleration X(g)_spec_entropy,Acceleration Y(g)_mean,Acceleration Y(g)_std,Acceleration Y(g)_var,Acceleration Y(g)_rms,Acceleration Y(g)_sma,Acceleration Y(g)_freq_dom,Acceleration Y(g)_spec_entropy,Acceleration Z(g)_mean,Acceleration Z(g)_std,Acceleration Z(g)_var,Acceleration Z(g)_rms,Acceleration Z(g)_sma,Acceleration Z(g)_freq_dom,Acceleration Z(g)_spec_entropy,Angular velocity X(°/s)_mean,Angular velocity X(°/s)_std,Angular velocity X(°/s)_var,Angular velocity X(°/s)_rms,Angular velocity X(°/s)_sma,Angular velocity X(°/s)_freq_dom,Angular velocity X(°/s)_spec_entropy,Angular velocity Y(°/s)_mean,Angular velocity Y(°/s)_std,Angular velocity Y(°/s)_var,Angular velocity Y(°/s)_rms,Angular velocity Y(°/s)_sma,Angular velocity Y(°/s)_freq_dom,Angular velocity Y(°/s)_spec_entropy,Angular velocity Z(°/s)_mean,Angular velocity Z(°/s)_std,Angular velocity Z(°/s)_var,Angular velocity Z(°/s)_rms,Angular velocity Z(°/s)_sma,Angular velocity Z(°/s)_freq_dom,Angular velocity Z(°/s)_spec_entropy,Clase,Sujeto
0.0019240324085814,0.0015195481593963,2.309026608724829e-06,0.0024517192575815,0.0020586681838385,0.390625,2.7053401193063373,0.0197887083227195,0.002435355326377,5.930955565713195e-06,0.0199380022230759,0.0197887083227195,0.390625,1.7256203049463896,0.9968475757520816,0.0015628265359043,2.4424267813269265e-06,0.9968488008266768,0.9968475757520816,5.46875,2.4332018068075687,-0.3189524785054705,0.267082741673618,0.0713331908998965,0.4160094643691164,0.3371172235415761,4.6875,2.4607923486456844,0.0035210708662607,0.2312812995284764,0.0534910395115808,0.2313081007047225,0.1757601336555741,1.5625,2.655078969149692,0.0264366835315369,0.2059404022546019,0.0424114492807872,0.2076303145422987,0.1657604184839117,1.171875,2.239812022696137,Quieto,S01
0.000903893218004,0.0011249734463194,1.2655652549238908e-06,0.0014431175296827,0.0010894204497318,6.25,3.0142773490094155,0.0177918750770782,0.0013020179602744,1.6952507688771444e-06,0.0178394526128812,0.0177918750770782,0.390625,2.64875596885032,0.9970001797058432,0.0015562509155553,2.4219169121668875e-06,0.9970013943071472,0.9970001797058432,4.296875,2.7389069292066104,-0.1118971876184398,0.3077574698924323,0.0947146602745913,0.3274685341700905,0.223266892194326,0.390625,1.7871309966449522,0.03643120798289,0.2092145068409352,0.0437707098726957,0.2123627622437331,0.1642140683905801,0.390625,2.28297138566279,0.1077818823395009,0.2290154419740841,0.0524480726625851,0.2531106612200109,0.2010199556588492,0.390625,2.098697012741232,Quieto,S01
-0.0340522825733844,0.0012652519894171,1.6008625967239797e-06,0.0340757804173924,0.0340522825733844,5.078125,2.850733643961883,0.022591301033882,0.000986528947836,9.732393649185656e-07,0.0226128309100916,0.022591301033882,0.390625,2.333650239559602,0.9971136221794974,0.0019508692882412,3.805890979802752e-06,0.9971155306316803,0.9971136221794974,5.078125,2.57393276999826,0.0589658578813635,0.2773052933232101,0.0768982257050716,0.2835051994245551,0.2383518803559137,0.390625,2.017498353683909,0.0424611589117354,0.2567391767654619,0.065915004886207,0.2602267374854757,0.212058919797984,0.390625,2.371882516326173,0.105560926967562,0.081483980508343,0.006639639079484,0.1333519717954518,0.1067514034631605,0.390625,2.1797367564652013,Quieto,S01
-0.0349053544944131,0.0012603874439106,1.588576508767574e-06,0.0349281025664065,0.0349053544944131,5.078125,2.6756597037622862,0.0230974818834758,0.0009893773548183,9.788675502274104e-07,0.0231186620916462,0.0230974818834758,4.6875,2.5224568941291685,0.9972151813524563,0.0017467702301497,3.0512062369373723e-06,0.9972167112147938,0.9972151813524563,5.078125,2.3028454791422512,0.0899669670288869,0.1981058680956484,0.0392459349739304,0.2175775496927642,0.1599939064740614,0.390625,2.1727379338003128,0.0233850306876729,0.1988814933058254,0.0395538483795551,0.2002516118282659,0.154788717405506,1.171875,2.2842014841093583,0.1201025203170164,0.0672231469991831,0.0045189514924737,0.1376356308481678,0.1214124396281626,0.78125,2.70872933869399,Quieto,S01
-0.0354482563431635,0.0009959915051082,9.919990782478774e-07,0.0354622457953368,0.0354482563431635,7.03125,2.7965601511919584,0.0235108221225995,0.0008981621323186,8.066952159311064e-07,0.0235279716953342,0.0235108221225995,5.46875,2.360722415321102,0.9973184179596644,0.0018998480498957,3.609422612692741e-06,0.9973202275218228,0.9973184179596644,5.46875,1.9328507403612651,-0.0017668084330753,0.1591545340441358,0.025330165706806,0.1591643406006672,0.1210470024796233,0.78125,2.170110851110161,-0.0819797300009978,0.1708088924339283,0.0291756777345053,0.1894633311898157,0.1452192689553909,5.46875,2.50191413723052,0.0960060213874834,0.0811418145167042,0.0065839940630632,0.1257026260891839,0.1017746818132351,4.6875,2.6870579854212324,Quieto,S01
-0.0349775428025668,0.0010810582291951,1.1686868949104713e-06,0.0349942450611569,0.0349775428025668,7.421875,2.939765073708409,0.0231305563469911,0.0009398115883854,8.832458216636462e-07,0.0231496410931789,0.0231305563469911,5.46875,2.153283036255888,0.9972507477409271,0.0016325858176189,2.665336451890618e-06,0.9972520840821996,0.9972507477409271,5.078125,2.039759095658046,-0.0262272807112112,0.1504407505878532,0.0226324194374366,0.1527098218548542,0.1158832564162104,5.078125,2.250797714464837,-0.1362059283618578,0.1393533484215528,0.0194193557162987,0.1948625429301749,0.1598589241862706,5.078125,2.356165263810852,0.0909083888073453,0.0764849401281535,0.0058499460664072,0.1188035404436866,0.0955228212316252,0.78125,2.387521147003937,Quieto,S01
-0.0339762008250679,0.0009158976133963,8.388684382251619e-07,0.0339885435248933,0.0339762008250679,0.390625,2.768665087037152,0.0221784743294515,0.0007303905731947,5.334703894117975e-07,0.022190497830638,0.0221784743294515,0.390625,2.371703261916502,0.9972658284481808,0.0010683112218402,1.141288866709889e-06,0.9972664006569676,0.9972658284481808,4.6875,2.864948422653544,-0.0544586905259776,0.087430363335059,0.0076440684329004,0.1030039679172829,0.0828191903392026,5.46875,2.6591141421373634,-0.1244179350145961,0.0950179531740503,0.009028411425386,0.1565510586955012,0.1329924123711334,0.390625,2.5218627422688606,0.0837297022986437,0.0511467539471212,0.0026159904393273,0.0981155109365836,0.0838785962271863,5.078125,2.815075910526388,Quieto,S01
-0.0331508345757182,0.0008907937888566,7.935135742655805e-07,0.0331628006453149,0.0331508345757182,4.6875,2.968126032037333,0.0213486858940346,0.0005510515553821,3.03657816689053e-07,0.0213557965718641,0.0213486858940346,0.390625,2.575790734543788,0.9973224992378592,0.0013512939891507,1.8259954451150536e-06,0.9973234146862766,0.9973224992378592,4.6875,2.6328089090856706,-0.0477930600059619,0.1051357789795345,0.0110535320216335,0.1154889977719394,0.0939878793438024,0.78125,2.448959536219148,-0.1094172187616488,0.1263262050726721,0.0159583100880628,0.167124019367646,0.1322399683618096,4.6875,2.675215631174125,0.0673916669438386,0.0577582920317997,0.0033360202984306,0.0887561663880315,0.071378196099669,0.78125,2.6351467953659085,Quieto,S01
-0.0321366443877226,0.0011910656955964,1.4186374912266482e-06,0.0321587087737391,0.0321366443877226,0.390625,2.544290187192365,0.0203644517933857,0.0008795341285908,7.735802833561236e-07,0.0203834363424936,0.0203644517933857,0.390625,1.9760840613132484,0.997376900775548,0.0015793899574135,2.494472637578888e-06,0.9973781512913118,0.997376900775548,5.46875,1.929741401604771,-0.0651252196335391,0.1344293321754435,0.0180712453491357,0.1493738249542149,0.1165158873791782,5.46875,2.1423212170174377,-0.1437211084357993,0.1673107411856429,0.0279928841160891,0.2205643695751967,0.1653810149274901,5.46875,2.389982780804237,0.0902172971330814,0.0741165355635449,0.0054932608439422,0.1167579613814018,0.0940698211769572,5.46875,2.776879819417768,Quieto,S01
-0.0313730244805597,0.0008349523623419,6.9714544738041e-07,0.0313841331010621,0.0313730244805597,6.640625,2.816825906499201,0.0195334060086334,0.0007292792359358,5.318482039672373e-07,0.0195470150790877,0.0195334060086334,5.46875,2.397642989163532,0.9973761295440756,0.0012233519820479,1.4965900719805917e-06,0.9973768798074242,0.9973761295440756,5.46875,2.4869774238884004,-0.056820303858456,0.1211139654258496,0.0146685926211738,0.1337801911784445,0.0991759519729984,0.390625,2.201738104805696,-0.1152446814091299,0.1448215853096032,0.0209732915715866,0.18508005879802,0.1275115049154117,0.390625,2.1807655350760937,0.0937280988459142,0.0718419366390729,0.0051612638600525,0.118094116590633,0.0961513194583233,0.390625,2.489406474254626,Quieto,S01
